tags	Tag1	Tag2	Tag3	Tag4	Tag5	duedate	starttime	duration	alertprior	priority	status	assignedto	sequence	title	description	outcome	webpage	recursunit	recursevery	recursdayofweek	recurswithinmonth	duedateymd	type	length	lastmod	lastmoddateymd	linkedtags
Expanded Functionality	Expanded Functionality					01/29/2007	00:00 AM	N/A	N/A	3	9		1.30	Alternate ways to indicate direct quotations	Provide some way(s) (other than by providing the quotation marks yourself) to indicate direct quotations.	The collection tab now allows you to specify that all new items are assumed to be direct quotations. The Edit Tab now includes a check box allowing you to specify that the text entered represents a direct quotation.		N/A	0	-1	-1	2007-01-29	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Bug Fix	Bug Fix					01/29/2007	00:00 AM	N/A	N/A	3	9		1.30	Fix Invalid UTF Characters	Invalid UTF characters are getting into the XML files.	The XML files created are now stored in UTF-8 format, and non-ASCII characters are converted appropriately.		N/A	0	-1	-1	2007-01-29	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Bug Fix	Bug Fix					01/29/2007	00:00 AM	N/A	N/A	3	9		1.30	Corrected Duplication Problem		Corrected a problem that caused some items to continually duplicate themselves. This was caused by an inconsistency in the way files were named. The I/O routine has been corrected to always use the actual file name (rather than a calculated one).		N/A	0	-1	-1	2007-01-29	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
New Feature	New Feature					01/31/2007	00:00 AM	N/A	N/A	3	9		1.30	Added Author Info Field		Added a new &quot;Author Info&quot; field. This will be appended to the name of the author so that, if you wanted the author to appear as &quot;Steve Jobs, CEO of Apple&quot;, you would enter &quot;Steve Jobs&quot; in the Author field, and &quot;CEO of Apple&quot; in the Author Info field.		N/A	0	-1	-1	2007-01-31	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
Bug Fix	Bug Fix					02/09/2007	00:00 AM	N/A	N/A	3	9		1.40	Prevented Program Crash when iWisdom is removed from its folder		Program will now launch successfully even if it is removed from its enclosing iWisdom folder.		N/A	0	-1	-1	2007-02-09	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Bug Fix	Bug Fix					02/11/2007	00:00 AM	N/A	N/A	3	9		1.40	Corrected Source Link Problem		Fixed a problem that was preventing the Source Link field from being editable.		N/A	0	-1	-1	2007-02-11	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Minor Enhancement	Minor Enhancement					02/11/2007	00:00 AM	N/A	N/A	3	9		1.40	Added Web Log and Web Page as Source Types		Added Web Log and Web Page as Source Type values.		N/A	0	-1	-1	2007-02-11	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Expanded Functionality	Expanded Functionality					02/24/2007	00:00 AM	N/A	N/A	3	9		1.40	Changed Method of Generating HTML		iWisdom now automatically generates the HTML equivalent for each wisdom item directly, without use of XSLT. This change provides greater ability to precisely control the HTML presentation.		N/A	0	-1	-1	2007-02-24	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Expanded Functionality	Expanded Functionality					03/06/2007	00:00 AM	N/A	N/A	3	9		1.40	Body of iWisdom Item is now fully editable HTML		The body of the iWisdom item is now stored, displayed and edited as XHTML.		N/A	0	-1	-1	2007-03-06	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Expanded Functionality	Expanded Functionality					03/12/2007	00:00 AM	N/A	N/A	3	9		1.40	HTML character entities now generated automatically.		When generating HTML, certain characters appearing in the body of an item are now converted to their appropriate HTML character entities. Pairs of consecutive hyphens are now changed to em dash characters; double quotation marks are converted to &quot;curly quotes&quot;; and apostrophes/single quotation marks are converted to their curly equivalents.		N/A	0	-1	-1	2007-03-12	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
New Feature	New Feature					03/19/2007	00:00 AM	N/A	N/A	3	9		1.40	Added Tips		When first installed, iWisdom will now show Tips in a separate window each time that it is launched.  These can also be requested from the Help Menu. Automatic display of these upon launch can be turned off (or back on) on the Prefs tab, as well as in the Tips window itself. The next tip will be displayed each time iWisdom is launched. The user may scroll through the tips in either direction.		N/A	0	-1	-1	2007-03-19	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
Expanded Functionality	Expanded Functionality					03/19/2007	00:00 AM	N/A	N/A	3	9		1.40	Favorites Added to Import Tab		A Favorites drop-down menu has been added to the Import Tab. Select an Internet source for importable wisdom from the drop-down menu, then click on the Import button to import all items from the selected source.		N/A	0	-1	-1	2007-03-19	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Minor Enhancement	Minor Enhancement					04/10/2007	00:00 AM	N/A	N/A	3	9		1.40	Added iWisdom Import Sources to Help Menu		A new item has been added to the Help Menu, titled iWisdom Import Sources. Selecting this item will cause a Web page to be loaded in your browser. The Web page will list a number of available Import sources for your collection of quotations.		N/A	0	-1	-1	2007-04-10	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
New Feature	New Feature					04/10/2007	00:00 AM	N/A	N/A	3	9		1.40	Add and Remove Quotes		Menu Items have been added that will allow quotes to be added or removed from the current quotation, or from all quotations in your collection. These functions allow you to fairly easily decide to display your quotations with quotation marks, or without (depending on your personal inclination).		N/A	0	-1	-1	2007-04-10	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
Bug Fix	Bug Fix					04/20/2007	00:00 AM	N/A	N/A	3	9		1.41	Fixed Code that was Generating Malformed HTML		Corrected several bugs that were causing malformed HTML to be generated.		N/A	0	-1	-1	2007-04-20	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Redesign	Redesign					08/13/2007	00:00 AM	N/A	N/A	3	9		1.50	Redesigned User Interface		Redesigned the iWisdom User Interface to make it more closely adhere to normal user expectations. Removed several windows from the string of tabs that existed before and put them in more logical locations, with the locations in some cases being dependent on the OS on which the application is run. The changes are described going from right to left along the old string of tabs. <br><br>The About tab is now available on the Mac at the iWisdom menu / About item, and on Windows at the Help menu / About iWisdom item.<br><br>The Log tab is now available from the Window menu / Log item, on all operating systems. <br><br>The Prefs and View tabs are now available from a tabbed Preferences window, which is available on the Mac at the iWisdom menu / Preferences item, and on Windows at the Tools menu / Options item. <br><br>The Export and Import tabs are now available as separate windows from their respective items under the File menu, on all operating systems. <br><br>The four remaining tabs are now split between two different panes. The List and Category tabs are on the left/top pane, and the Display and Edit tabs are on the right/bottom pane (a new check box under General Preferences allow you to choose you to split the panes horizontally or vertically). The first two panes act as selection panes, and the last two allow you to view/edit a single, selected item.  <br><br>What used to be known as the Rotate button is now called the Scan button, and has been moved to the tool bar. Clicking once begins the process of showing a different item in the Display window every few seconds, and clicking again on the same button now ends the scan. <br><br>Additionally, a search field has now been added to the toolbar, followed by a Find Button. <br>		N/A	0	-1	-1	2007-08-13	Action	0	 	 	<a href='tags/redesign.html' rel='tag'>Redesign</a>
Expanded Functionality	Expanded Functionality					09/08/2007	00:00 AM	N/A	N/A	3	9		1.50	Created Backup and Revert to Backup items on the File Menu		New items on the File menu now allow the user to create a backup file, and to revert their current collection to a previous backup file.		N/A	0	-1	-1	2007-09-08	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Expanded Functionality	Expanded Functionality					09/08/2007	00:00 AM	N/A	N/A	3	9		1.50	Text File Import Improved		The import function for text files has been improved in several ways. On a Mac, you may import a file simply by dragging and dropping the file onto the application. The ability to parse the text files and accurately identify authors, quotations, years and categories has been improved, although the extent to which this will work well for any individual text file is hard to predict, due to the variation in formatting used within these sorts of files.		N/A	0	-1	-1	2007-09-08	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Bug Fix	Bug Fix					10/06/2007	00:00 AM	N/A	N/A	3	9		1.51	Fixed Spacing Problem		Corrected a problem with proper spacing after use of embedded inline HTML within a paragraph.		N/A	0	-1	-1	2007-10-06	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Expanded Functionality	Expanded Functionality					10/06/2007	00:00 AM	N/A	N/A	3	9		1.51	Added Markdown Export Format		Added the ability to export a collection into the Markdown text format.		N/A	0	-1	-1	2007-10-06	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Minor Enhancement	Minor Enhancement					10/18/2007	00:00 AM	N/A	N/A	3	9		1.51	Added Linkable ID Number		Each item is now assigned a unique ID number when it is added to a collection. When publishing a collection to a Web site, a shortcut file is generated for each item in the collection, with each shortcut file redirecting to the actual HTML file at the longer URL location. The shortcut file is designed to provide a shorter URL that can be used to reference a Wisdom item.		N/A	0	-1	-1	2007-10-18	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Expanded Functionality	Expanded Functionality					12/21/2007	00:00 AM	N/A	N/A	3	9		1.60	Enhanced Import Capabilities		Enhanced the Import function to detect duplicate entries, and to add new information from the imported duplicate, if available.		N/A	0	-1	-1	2007-12-21	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Bug Fix	Bug Fix					06/03/2008	00:00 AM	N/A	N/A	3	9		1.70	Corrected Item/Duplicate Problem		Corrected bug in Item/Duplicate processing. Starting with version 1.60, when a new item is added, its text is compared to that of existing entries and, if a duplicate is found, the new entry is merged with the old one, rather than being added. Unfortunately, when an item was requested to be duplicated, the second occurrence of the item was being merged with the first, resulting in no change. This was corrected by changing the body of the new item to some standard text referring to the duplication. This allows the user to duplicate an entry in order to avoid rekeying author and source information for multiple entries from the same source.		N/A	0	-1	-1	2008-06-03	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Minor Enhancement	Minor Enhancement					06/03/2008	00:00 AM	N/A	N/A	3	9		1.70	Added Horizontal Line Below Body in Display View		At the request of a current user, added a horizontal rule between the body text and the remaining information for a wisdom item, on the Display view. This provides some nice visual separation between the primary information above and the secondary information below.		N/A	0	-1	-1	2008-06-03	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Expanded Functionality	Expanded Functionality					06/03/2008	00:00 AM	N/A	N/A	3	9		1.70	Added Support for Multiple Categories		The program previously supported multi-level categories (separated by periods) but support has now been added for multiple categories, separated by commas (each of which may have one or more levels). When viewing items from the Categories tab, an item with multiple categories will appear multiple times, once for each assigned category.		N/A	0	-1	-1	2008-06-03	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Minor Enhancement	Minor Enhancement					06/04/2008	00:00 AM	N/A	N/A	3	9		1.70	Category Selection Made Easier		A list of categories already used now drops down automatically when your cursor enters the Category field. You may click on an item in the list to select it, or you may type enough of the desired Category to see it selected on the list, then press Enter/Return to select the currently highlighted entry from the list. The process may be repeated, after typing a comma, to assign multiple Categories to an item.		N/A	0	-1	-1	2008-06-04	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Minor Enhancement	Minor Enhancement					06/09/2008	00:00 AM	N/A	N/A	3	9		1.70	Enhanced Display Preferences		Added several check boxes to the Display Preferences tab of the iWisdom General Preferences to allow unused fields to be suppressed. Title, Source, Source Type, Date Added and ID Number can all now be suppressed if desired from appearing on the Display tab.		N/A	0	-1	-1	2008-06-09	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Expanded Functionality	Expanded Functionality					07/27/2008	00:00 AM	N/A	N/A	3	9		1.80	Expanded Category Replace Function		Expanded the Category Replace function to allow an existing category to be removed (by leaving the replacement category field blank) and to allow a new category to be added to all items (by leaving the existing category field blank).		N/A	0	-1	-1	2008-07-27	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Expanded Functionality	Expanded Functionality					07/27/2008	00:00 AM	N/A	N/A	3	9		1.80	Export by Category		A new option has been added to the Export function, to allow all items having the specified category to be exported.		N/A	0	-1	-1	2008-07-27	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Minor Enhancement	Minor Enhancement					10/12/2008	00:00 AM	N/A	N/A	3	9		1.80	Split Edit Tab into Three Sections		The fields to be entered on the Edit tab have been split into three lower-level tabs: Content, Author, and Work. Only the information on the Content field is required. This change allows all fields to be accessed for data entry without requiring an excessive size for the iWisdom window.		N/A	0	-1	-1	2008-10-12	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Expanded Functionality	Expanded Functionality					10/12/2008	00:00 AM	N/A	N/A	3	9		1.80	Added Bibliographic Fields		Added the name of the work's publisher, the city in which the publisher operates, and the pages of the work from which the extract was taken. All of these fields now appear on the new Work tab. With the addition of these fields, enough data is now maintained to generate a bibliography.		N/A	0	-1	-1	2008-10-12	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Expanded Functionality	Expanded Functionality					10/12/2008	00:00 AM	N/A	N/A	3	9		1.80	Author may now be Selected from a List		When entering the Author(s) for an item, the user is now presented with a list of all authors already part of the collection. A particular author may be entered by scrolling through the list presented, or entering enough letters (either last name first, or first name last) to uniquely identify an entry. Pressing Return/Enter selects an author from the list. Pressing Tab moves to the next field. When selecting an existing author, additional author fields (Info and Author Link) are entered automatically on the new entry, if present on any of the existing entries for the same author.		N/A	0	-1	-1	2008-10-12	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Expanded Functionality	Expanded Functionality					10/12/2008	00:00 AM	N/A	N/A	3	9		1.80	Source may now be Selected from a List		When entering the Source for an item, the user is now presented with a list of all sources already part of the collection. A particular source may be entered by scrolling through the list presented, or entering enough letters to uniquely identify an entry. Pressing Return/Enter selects a source from the list. Pressing Tab moves to the next field. When selecting an existing source, additional source fields are entered automatically on the new item, if present on any of the existing items for the same source.		N/A	0	-1	-1	2008-10-12	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Expanded Functionality	Expanded Functionality					10/12/2008	00:00 AM	N/A	N/A	3	9		1.80	Additional Export Formats Now Supported		The Export window has been reformatted, and additional Export formats are now supported. The user may now select between exporting &quot;All Fields&quot; and exporting a Wisdom List. The All Fields option supports formats that contain all fields for each item in a format that can be read by iWisdom or another program, while the Wisdom List option is formatted using HTML, some equivalent markup format, or OPML. Item Scope allows the user to select only the currently selected entry, all items in a selected category, or the entire collection. The available Formats depends on the chosen Field Scope, but now includes Markdown and Textile formats when Wisdom List is selected. Finally, the destination for any of these choices may now be either an output file, or the System Clipboard (allowing the results to be subsequently pasted into another program).		N/A	0	-1	-1	2008-10-12	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Bug Fix	Bug Fix					11/16/2008	00:00 AM	N/A	N/A	3	9		1.81	Fixed Bug Affecting New Users		Version 1.80 introduced a fatal bug affecting new users. This change corrects that problem.		N/A	0	-1	-1	2008-11-16	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
New Feature	New Feature					11/30/2008	00:00 AM	N/A	N/A	3	9		1.82	Added a separate set of HTML files for Mobile use		When saving a wisdom item, a separate HTML file for use by mobile devices such as iPhones will be generated.		N/A	0	-1	-1	2008-11-30	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
Bug Fix	Bug Fix					11/30/2008	00:00 AM	N/A	N/A	3	9		1.82	Java 5.0 Now Required		The minimum requirement to run iWisdom has been upgraded to 5.0 or better, to avoid potential problems with earlier Java releases.		N/A	0	-1	-1	2008-11-30	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Bug Fix	Bug Fix					05/28/2010	00:00 AM	N/A	N/A	3	9		2.00	Wrong Item Deleted from Category Tab	When deleting from the Category Tab, the item below the selected one disappears.	Corrected a bug that caused problems when deleting an item from the Category Tab.		N/A	0	-1	-1	2010-05-28	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Bug Fix	Bug Fix					 	00:00 AM	N/A	N/A	3	0			Program Loops When Cancelling out of a File / New Menu Item	After selecting File / New, and then cancelling the action, the program loops interminably.			N/A	0	-1	-1	 	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Redesign	Redesign					05/28/2010	00:00 AM	N/A	N/A	3	9		2.00	Streamlined Documentation		Removed the Tips and am instead providing a single help document to replace the multiple forms of help that were available previously, both to avoid potential user confusion and to make the documentation easier to keep up-to-date.		N/A	0	-1	-1	2010-05-28	Action	0	 	 	<a href='tags/redesign.html' rel='tag'>Redesign</a>
Expanded Functionality	Expanded Functionality					05/28/2010	00:00 AM	N/A	N/A	3	9		2.00	Paragraph Tags No Longer Required		The body of a wisdom item no longer displays or requires HTML paragraph tags. Blank lines between paragraphs will now be preserved and have essentially the same effect.		N/A	0	-1	-1	2010-05-28	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Redesign	Redesign					05/28/2010	00:00 AM	N/A	N/A	3	9		2.00	Registration Now Required for Complete Functionality		Converted iWisdom from donationware to shareware, so a registration fee is now required to achieve full functionality.		N/A	0	-1	-1	2010-05-28	Action	0	 	 	<a href='tags/redesign.html' rel='tag'>Redesign</a>
Expanded Functionality	Expanded Functionality					05/28/2010	00:00 AM	N/A	N/A	3	9		2.00	Added to List of Valid Source Types		The list of valid Source Types on the Work tab has been augmented by the addition of Letter as a valid source type.		N/A	0	-1	-1	2010-05-28	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Bug Fix	Bug Fix					05/28/2010	00:00 AM	N/A	N/A	3	9		2.00	Improved Display Appearance		Spacing is now provided between key elements of the wisdom Display in order to make the wisdom item easier to read. Logically related elements are now also combined on a single line, in some cases, rather than using a separate line for each field.		N/A	0	-1	-1	2010-05-28	Action	0	 	 	<a href='tags/bug-fix.html' rel='tag'>Bug Fix</a>
Minor Enhancement	Minor Enhancement					05/28/2010	00:00 AM	N/A	N/A	3	9		2.00	Added an OK Button		Added an OK button to the toolbar that can be clicked when a user is done editing an item. This does nothing more than clicking on the Display tab, but the lack of an explicit button to indicate the completion of editing seemed to cause some users confusion.		N/A	0	-1	-1	2010-05-28	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Expanded Functionality	Expanded Functionality					05/28/2010	00:00 AM	N/A	N/A	3	9		2.00	Added Transfer Prefererences		A fourth Tab has been added to the iWisdom Preferences, titled &quot;Transfer.&quot; This refers to the existing Transfer function available from the Item menu. The new Preferences tab allows the user to choose between several different formats for transferring wisdom to the clipboard: Fortune, Markdown, OPML and Text Block (the only choice available previously). The effects of the choice on the currently selected wisdom item will be displayed within the Preferences pane, so that the user can immediately see the effects of their choice.		N/A	0	-1	-1	2010-05-28	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
Expanded Functionality	Expanded Functionality					05/28/2010	00:00 AM	N/A	N/A	3	9		2.00	Fortune added as Export Format		Fortune is now available as one of the available formats for Export of a Wisdom list.		N/A	0	-1	-1	2010-05-28	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
New Feature	New Feature					05/28/2010	00:00 AM	N/A	N/A	3	9		2.00	Last Author and Work can now be Copied		The Item menu now has a Last Author and Work command, with a shortcut key, that will copy the author and work information from the last item accessed before the one currently being added/edited. This feature makes it easier to add a number of quotations from the same source, since you now need to enter this information only for the first item.		N/A	0	-1	-1	2010-05-28	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
Minor Enhancement	Minor Enhancement					05/28/2010	00:00 AM	N/A	N/A	3	9		2.00	Improved Views		The View list is now initialized with two named Views, By Author and By Title. Also, views are now retained and conserved as new Wisdom lists are opened.		N/A	0	-1	-1	2010-05-28	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Expanded Functionality	Expanded Functionality					05/28/2010	00:00 AM	N/A	N/A	3	9		2.00	Numeric Title Now Retained		In previous versions, attempts to enter numeric titles would result in the title being set to the first few words of the body, as if the title had been blank. This has been changed, and numeric titles will now be retained.		N/A	0	-1	-1	2010-05-28	Action	0	 	 	<a href='tags/expanded-functionality.html' rel='tag'>Expanded Functionality</a>
New Feature	New Feature					08/22/2010	00:00 AM	N/A	N/A	3	9		2.10	Ability to Import from WikiQuote		Added the ability to import quotations from WikiQuote.org, using a new item under the File menu. While not all WikiQuote quotations may be able to be imported, due to variations in the way WikiQuote pages are formatted, the new function should work well on most WikiQuote pages.		N/A	0	-1	-1	2010-08-22	Action	0	 	 	<a href='tags/new-feature.html' rel='tag'>New Feature</a>
Minor Enhancement	Minor Enhancement					08/22/2010	00:00 AM	N/A	N/A	3	9		2.10	Reminder Window added for Unregistered Copies		For users with unregistered copies of iWisdom, a new panel pops up when the application is launched, giving the user options to purchase a license, enter a registration code, or continue in demo mode.		N/A	0	-1	-1	2010-08-22	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Redesign	Redesign					11/14/2010	00:00 AM	N/A	N/A	3	9		2.20	Publish Function Improved		Added a new Publish command, using ctrl/cmd P as the shortcut key. This new system provides more flexibility than the old system used by iWisdom, allowing you to publish your collection as a Web site or E-book, and publish to any location you like (as opposed to generating Web pages automatically within the Wisdom collection folder itself).		N/A	0	-1	-1	2010-11-14	Action	0	 	 	<a href='tags/redesign.html' rel='tag'>Redesign</a>
Minor Enhancement	Minor Enhancement					11/14/2010	00:00 AM	N/A	N/A	3	9		2.20	Accept Command now the Update Command		Renamed the Accept Command to the Update Command. The Update command (with ctrl/cmd U as the shortcut key) is now the command to use to paste an entire item from the system clipboard into your current iWisdom collection. This freed up the P shortcut key for the new Publish function.		N/A	0	-1	-1	2010-11-14	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Minor Enhancement	Minor Enhancement					04/23/2011	00:00 AM	N/A	N/A	3	9		2.30	header.xml location change		The header.xml file, used to store information about a wisdom collection, is now stored directly within the wisdom folder, rather than within the xml folder.		N/A	0	-1	-1	2011-04-23	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
Minor Enhancement	Minor Enhancement					06/21/2011	00:00 AM	N/A	N/A	3	9		2.30	Added TV Show, Interview and Remarks as potential source types		Added Television Show, Interview and Remarks as new source types.		N/A	0	-1	-1	2011-06-21	Action	0	 	 	<a href='tags/minor-enhancement.html' rel='tag'>Minor Enhancement</a>
