category	author	source	rating	sourcetype	rights	year	sourceid	title	body	rightsowner	webpage	minortitle	sourcelink	authorlink	dateadded	authorinfo	itemid	publisher	city	pages	authorfilename	authorlastnamefirst	authorlastnamestrong	linkedtags	sourceline	rightsline
Religion	Albert Einstein	Religion and Science	3	Book		1930		Moral Religion	<p> The Jewish scriptures admirably illustrate the development from the religion of fear to moral religion, a development continued in the New Testament. The religions of all civilized peoples, especially the peoples of the Orient, are primarily moral religions. The development from a religion of fear to moral religion is a great step in peoples&#8217; lives. And yet, that primitive religions are based entirely on fear and the religions of civilized peoples purely on morality is a prejudice against which we must be on our guard. The truth is that all religions are a varying blend of both types, with this differentiation: that on the higher levels of social life the religion of morality predominates. </p>						2010-08-13T18:30:01-07:00		205				albert_einstein	Einstein, Albert	Albert <strong>Einstein</strong>	<a href='../tags/religion' rel='tag'>Religion</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Religion and Science</cite>, <span class='datepublished'>1930</span>	
Religion	Albert Einstein	Religion and Science	3	Book		1930		This Highest Kind of Religious Feeling	<p> The beginnings of cosmic religious feeling already appear at an early stage of development, e.g., in many of the Psalms of David and in some of the Prophets. Buddhism, as we have learned especially from the wonderful writings of Schopenhauer, contains a much stronger element of this. The religious geniuses of all ages have been distinguished by this kind of religious feeling, which knows no dogma and no God conceived in man's image; so that there can be no church whose central teachings are based on it. Hence it is precisely among the heretics of every age that we find men who were filled with this highest kind of religious feeling and were in many cases regarded by their contemporaries as atheists, sometimes also as saints. </p>						2010-08-13T18:22:37-07:00		204				albert_einstein	Einstein, Albert	Albert <strong>Einstein</strong>	<a href='../tags/religion' rel='tag'>Religion</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Religion and Science</cite>, <span class='datepublished'>1930</span>	
	Albert Einstein	The Collected Papers of Albert Einstein	3	Letter		18 September 1896		A happy man is too satisfied with the present to	<p> A happy man is too satisfied with the present to dwell too much on the future. </p>			My Future Plans			2010-08-15T07:52:59-07:00		207				albert_einstein	Einstein, Albert	Albert <strong>Einstein</strong>		the <span class='sourcetype'>Letter</span> <cite class='majortitle'>The Collected Papers of Albert Einstein</cite>, <cite class='minortitle'>&#8220;My Future Plans&#8221;</cite>, <span class='datepublished'>18 September 1896</span>	
	Albert Einstein	The Collected Papers of Albert Einstein	3	Letter		18 September 1896		I am by heritage a Jew, by citizenship a Swiss	<p> I am by heritage a Jew, by citizenship a Swiss, and by makeup a human being, and <i>only</i> a human being, without any special attachment to any state or national entity whatsoever. </p>			My Future Plans			2010-08-15T09:16:17-07:00		208				albert_einstein	Einstein, Albert	Albert <strong>Einstein</strong>		the <span class='sourcetype'>Letter</span> <cite class='majortitle'>The Collected Papers of Albert Einstein</cite>, <cite class='minortitle'>&#8220;My Future Plans&#8221;</cite>, <span class='datepublished'>18 September 1896</span>	
Purpose	Albert Einstein	The World As I See It	3	Book		1949	1599868245	To Give in the Same Measure	<p> How strange is the lot of us mortals! Each of us is here for a brief sojourn; for what purpose he knows not, though he sometimes thinks he senses it. But without deeper reflection one knows from daily life that one exists for other people &#8212; first of all for those upon whose smiles and well-being our own happiness is wholly dependent, and then for the many, unknown to us, to whose destinies we are bound by the ties of sympathy. A hundred times every day I remind myself that my inner and outer life are based on the labors of other men, living and dead, and that I must exert myself in order to give in the same measure as I have received and am still receiving.... </p>						2008-07-13T08:59:35-07:00		127				albert_einstein	Einstein, Albert	Albert <strong>Einstein</strong>	<a href='../tags/purpose' rel='tag'>Purpose</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The World As I See It</cite>, <span class='datepublished'>1949</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1599868245/portablewisdo-20' class='isbn'>1599868245</a> 	
Simplicity	Albert Einstein	unknown	3	unknown				Simplicity and Complexity	<p> Everything should be made as simple as possible, but no simpler. </p>						2006-11-30T14:29:31-08:00		7				albert_einstein	Einstein, Albert	Albert <strong>Einstein</strong>	<a href='../tags/simplicity' rel='tag'>Simplicity</a>		
Ethics	Albert Schweitzer	Leading Quietly: An Unorthodox Guide to Doing the Right Thing	3	Book	Copyright	2002	1578514878	Small and Obscure Deeds	<p> Of all the will toward the ideal in mankind only a small part can manifest itself in public action. All the rest of this force must be content with small and obscure deeds. The sum of these, however, is a thousand times stronger than the acts of those who receive wide public recognition. The latter, compared to the former, are like the foam on the waves of a deep ocean. </p>	Joseph L. Badaracco, Jr					2006-11-30T14:29:31-08:00		8				albert_schweitzer	Schweitzer, Albert	Albert <strong>Schweitzer</strong>	<a href='../tags/ethics' rel='tag'>Ethics</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Leading Quietly: An Unorthodox Guide to Doing the Right Thing</cite>, <span class='datepublished'>2002</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1578514878/portablewisdo-20' class='isbn'>1578514878</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2002</span> by <span class='rightsowner'>Joseph L. Badaracco, Jr</span>
Progress	Alfred North Whitehead	unknown	3	unknown				The Art of Progress	<p> The art of progress is to preserve order amid change, and to preserve change amid order. </p>						2006-11-30T14:29:31-08:00		9				alfred_north_whitehead	Whitehead, Alfred North	Alfred North <strong>Whitehead</strong>	<a href='../tags/progress' rel='tag'>Progress</a>		
Software Development	Alistair Cockburn	Agile Software Development	3	Book	Copyright	2002	0201699699	System Architects as Storytellers	<p> ...system architects act as storytellers. They keep alive the promise and vision of the future system, which is particularly valuable during the confusing early periods of a project. </p>	Pearson Education, Inc					2006-11-30T14:29:31-08:00		10				alistair_cockburn	Cockburn, Alistair	Alistair <strong>Cockburn</strong>	<a href='../tags/software_development' rel='tag'>Software Development</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Agile Software Development</cite>, <span class='datepublished'>2002</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0201699699/portablewisdo-20' class='isbn'>0201699699</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2002</span> by <span class='rightsowner'>Pearson Education, Inc</span>
Wholeness	Angeles Arrien	The Four-Fold Way	3	Book	Copyright	1993	0062500597	The Four-Fold Way	<p> The following four principles, each based on an archetype, comprise what I call the Four-Fold Way: </p> <p> 1. <i>Show up, or choose to be present.</i> Being present allows us to access the human resources of power, presence, and communication. This is the way of the Warrior. </p> <p> 2. <i>Pay attention to what has heart and meaning.</i> Paying attention opens us to the human resources of love, gratitude, acknowledgment, and validation. This is the way of the Healer. </p> <p> 3. <i>Tell the truth without blame or judgment.</i> Nonjudgmental truthfulness maintains our authenticity, and develops our inner vision and intuition. This is the way of the Visionary. </p> <p> 4. <i>Be open to outcome, not attached to outcome.</i> Openness and nonattachment help us to recover the humann resources of wisdom and objectivity. This is the way of the Teacher. </p>	Angeles Arrien					2007-11-06T07:00:58-08:00		113				angeles_arrien	Arrien, Angeles	Angeles <strong>Arrien</strong>	<a href='../tags/wholeness' rel='tag'>Wholeness</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Four-Fold Way</cite>, <span class='datepublished'>1993</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0062500597/portablewisdo-20' class='isbn'>0062500597</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1993</span> by <span class='rightsowner'>Angeles Arrien</span>
Concepts	Ansel Adams	unknown	3	unknown				Fuzzy Concept	<p> There is nothing worse than a brilliant image of a fuzzy concept. </p>						2006-11-30T14:29:31-08:00		11				ansel_adams	Adams, Ansel	Ansel <strong>Adams</strong>	<a href='../tags/concepts' rel='tag'>Concepts</a>		
Thought	Aristotle	unknown	3	unknown				Entertain a Thought	<p> It is the mark of an educated mind to be able to entertain a thought without accepting it. </p>						2006-11-30T14:29:31-08:00		12				aristotle	Aristotle	<strong>Aristotle</strong>	<a href='../tags/thought' rel='tag'>Thought</a>		
America	Barack Obama	2009 Inaugral Address	2	Speech		2009		The Makers of Things	<p> “In reaffirming the greatness of our nation, we understand that greatness is never a given. It must be earned. Our journey has never been one of shortcuts or settling for less. It has not been the path for the faint-hearted &#8212; for those who prefer leisure over work, or seek only the pleasures of riches and fame. Rather, it has been the risk-takers, the doers, the makers of things &#8212; some celebrated but more often men and women obscure in their labor, who have carried us up the long, rugged path towards prosperity and freedom.” </p>		http://www.whitehouse.gov/blog/inaugural-address/		http://www.whitehouse.gov/blog/inaugural-address/		2009-04-02T19:50:16-07:00		174				barack_obama	Obama, Barack	Barack <strong>Obama</strong>	<a href='../tags/america' rel='tag'>America</a>	the <span class='sourcetype'>Speech</span> <cite class='majortitle'><a href='http://www.whitehouse.gov/blog/inaugural-address/' rel='source'>2009 Inaugral Address</a></cite>, <span class='datepublished'>2009</span>	
Values	Barack Obama	Inaugral Address	3	Speech		2009		A Return to These Truths	<p> Our challenges may be new. The instruments with which we meet them may be new. But those values upon which our success depends — hard work and honesty, courage and fair play, tolerance and curiosity, loyalty and patriotism — these things are old. These things are true. They have been the quiet force of progress throughout our history. What is demanded then is a return to these truths. </p>						2009-01-20T20:47:20-08:00		171				barack_obama	Obama, Barack	Barack <strong>Obama</strong>	<a href='../tags/values' rel='tag'>Values</a>	the <span class='sourcetype'>Speech</span> <cite class='majortitle'>Inaugral Address</cite>, <span class='datepublished'>2009</span>	
Nature	Baruch Spinoza	The Ethics	3	Book		1677	0393058980	Notions to Explain Nature	<p> We see therefore that all the notions whereby the common people are wont to explain Nature are merely modes of imagining and denote not the nature of anything but only the constitution of the imagination. </p>						2010-07-12T15:03:19-07:00		192				baruch_spinoza	Spinoza, Baruch	Baruch <strong>Spinoza</strong>	<a href='../tags/nature' rel='tag'>Nature</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Ethics</cite>, <span class='datepublished'>1677</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0393058980/portablewisdo-20' class='isbn'>0393058980</a> 	
Freedom	Baruch Spinoza	Tractatus Theologico-Politicus	3	Book		1670	0393058980	Freedom of Judgment	<p> Since we have the rare good fortune to live in a commonwealth where the freedom of judgment is fully granted to the individual citizen and he may worship God as he pleases, and where nothing is esteemed dearer and more precious than freedom, I think I am undertaking no ungrateful or unprofitable task in demonstrating that not only can this freedom be granted without endangering piety and the peace of the commonwealth, but also the peace of the commonwealth and piety depend on this freedom. </p>						2010-07-12T15:10:39-07:00		193				baruch_spinoza	Spinoza, Baruch	Baruch <strong>Spinoza</strong>	<a href='../tags/freedom' rel='tag'>Freedom</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Tractatus Theologico-Politicus</cite>, <span class='datepublished'>1670</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0393058980/portablewisdo-20' class='isbn'>0393058980</a> 	
Unity	Benjamin Franklin	The Writings of Benjamin Franklin	3	Letter		29 December 1754		Every Body cries, a Union is absolutely necessary	<p> Every Body cries, a Union is absolutely necessary, but when they come to the Manner and Form of the Union, their weak Noddles are perfectly distracted. </p>			to Peter Collinson			2010-08-18T07:07:39-07:00		209				benjamin_franklin	Franklin, Benjamin	Benjamin <strong>Franklin</strong>	<a href='../tags/unity' rel='tag'>Unity</a>	the <span class='sourcetype'>Letter</span> <cite class='majortitle'>The Writings of Benjamin Franklin</cite>, <cite class='minortitle'>&#8220;to Peter Collinson&#8221;</cite>, <span class='datepublished'>29 December 1754</span>	
Education	Benjamin Franklin	unknown	3	unknown				Education and Genius	<p> Genius without education is like silver in the mine. </p>						2006-11-30T14:29:31-08:00		13				benjamin_franklin	Franklin, Benjamin	Benjamin <strong>Franklin</strong>	<a href='../tags/education' rel='tag'>Education</a>		
Design	Benjamin L. Kovitz	Practical Software Requirements: A Manual of Content and Style	3	Book	Copyright	1999	1884777597	Design Patterns	<p> Just as possessing a rich vocabulary of words enables you to write well, possessing a rich vocabulary of design patterns enables you to design well. </p>	Manning Publications Co.					2006-11-30T14:29:31-08:00		14				benjamin_l_kovitz	Kovitz, Benjamin L.	Benjamin L. <strong>Kovitz</strong>	<a href='../tags/design' rel='tag'>Design</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Practical Software Requirements: A Manual of Content and Style</cite>, <span class='datepublished'>1999</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1884777597/portablewisdo-20' class='isbn'>1884777597</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1999</span> by <span class='rightsowner'>Manning Publications Co.</span>
Problem Solving	Benjamin L. Kovitz	Practical Software Requirements: A Manual of Content and Style	3	Book	Copyright	1999	1884777597	Solution Reuse	<p> The following is an exhaustive list of<i>all</i> problem-solving techniques, arranged in order of decreasing effectiveness: </p> <p> 1. Already knowing the solution; </p> <p> 2. Already knowing the solution to a similar problem; </p> <p> 3. All other techniques. </p> <p> The third &#8212; enormous &#8212; category lumps functional decomposition together with whacks on the side of the head, thinking outside the box, and all the others because, compared to the first two techniques, they are nearly worthless. </p>	Manning Publications Co.					2006-11-30T14:29:31-08:00		15				benjamin_l_kovitz	Kovitz, Benjamin L.	Benjamin L. <strong>Kovitz</strong>	<a href='../tags/problem_solving' rel='tag'>Problem Solving</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Practical Software Requirements: A Manual of Content and Style</cite>, <span class='datepublished'>1999</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1884777597/portablewisdo-20' class='isbn'>1884777597</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1999</span> by <span class='rightsowner'>Manning Publications Co.</span>
Art	Bertolt Brecht	Unknown	3	unknown				Art is a Hammer	<p> Art is not a mirror held up to reality, but a hammer with which to shape it. </p>						2006-11-30T14:29:31-08:00		16				bertolt_brecht	Brecht, Bertolt	Bertolt <strong>Brecht</strong>	<a href='../tags/art' rel='tag'>Art</a>		
Thought	Bertrand Russell	Is There A God?	3	Essay		1952		The Celestial Teapot	<p> Many orthodox people speak as though it were the business of skeptics to disprove received dogmas rather than of dogmatics to prove them. This is, of course, a mistake. If I were to suggest that between the Earth and Mars there is a china teapot revolving about the sun in an elliptical orbit, nobody would be able to disprove my assertion provided I were careful to add that the teapot is too small to be revealed even by our most powerful telescopes. But if I were to go on to say that, since my assertion cannot be disproved, it is intolerable presumption on the part of human reason to doubt it, I should rightly be thought to be talking nonsense. If, however, the existence of such a teapot were affirmed in ancient books, taught as the sacred truth every Sunday, and instilled into the minds of children at school, hesitation to believe in its existence would become a mark of eccentricity and entitle the doubter to the attentions of the psychiatrist in an enlightened age or of the Inquisitor in an earlier time. </p>						2007-09-08T10:21:56-07:00		17				bertrand_russell	Russell, Bertrand	Bertrand <strong>Russell</strong>	<a href='../tags/thought' rel='tag'>Thought</a>	the <span class='sourcetype'>Essay</span> <cite class='majortitle'>Is There A God?</cite>, <span class='datepublished'>1952</span>	
Thought	Bertrand Russell	unknown	3	unknown				Men fear thought	<p> Men fear thought as they fear nothing else on earth &#8212; more than ruin &#8212; more even than death.... Thought is subversive and revolutionary, destructive and terrible, thought is merciless to privilege, established institutions, and comfortable habit. Thought looks into the pit of hell and is not afraid. Thought is great and swift and free, the light of the world, and the chief glory of man. </p>						2006-11-30T14:29:31-08:00		18				bertrand_russell	Russell, Bertrand	Bertrand <strong>Russell</strong>	<a href='../tags/thought' rel='tag'>Thought</a>		
Management	Beverly Kaye and Sharon Jordan-Evans	Love “Em or Lose “Em: Getting Good People to Stay	3	Book	Copyright	1999	1576750736	Satisfied Employees are In the Know	<p> Research overwhelmingly supports the notion that satisfied employees are &#8216;in the know.&#8217; They want to be trusted with the truth about the business, including its challenges and downturns. Managers who trust their employees with the truth are trusted, in turn, by their employees. It's a powerful, positive cycle. </p>	Beverly Kaye and Sharon Jordan-Evans					2006-11-30T14:29:31-08:00		19				beverly_kaye_and_sharon_jordanevans	Kaye, Beverly and Jordan-Evans, Sharon	Beverly <strong>Kaye</strong> and Sharon <strong>Jordan-Evans</strong>	<a href='../tags/management' rel='tag'>Management</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Love “Em or Lose “Em: Getting Good People to Stay</cite>, <span class='datepublished'>1999</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1576750736/portablewisdo-20' class='isbn'>1576750736</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1999</span> by <span class='rightsowner'>Beverly Kaye and Sharon Jordan-Evans</span>
Software Development.Design	Bob Lewis	IS Survival Guide	3	Book	Copyright	1999	0672314371	Extensible Systems	<p> Your goals [when designing a system] shouldn't be to achieve perfection. They should be to create as small a system as you can that works usefully and is built to be extensible. </p>	Sams Publishing					2006-11-30T14:29:31-08:00		20				bob_lewis	Lewis, Bob	Bob <strong>Lewis</strong>	<a href='../tags/software_development-design' rel='tag'>Software Development.Design</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>IS Survival Guide</cite>, <span class='datepublished'>1999</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0672314371/portablewisdo-20' class='isbn'>0672314371</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1999</span> by <span class='rightsowner'>Sams Publishing</span>
Business	Bob Lewis	IS Survival Guide	3	Book	Copyright	1999	0672314371	Good Mission Statements	<p> Good missions, and Mission Statements, exclude alternatives. Useless ones try to express everything you might ever want to do. </p> <p> We develop or install high-quality software&#8221;, has no place in a Mission Statement, for example, because what other choice might you have expressed? The alternatives: </p> <ul> <li> &#8220;We develop or install mediocre software.&#8221; </li> <li> &#8220;We develop or install awful software.&#8221; </li> <li> &#8220;We refuse to develop or install any kind of software.&#8221; </li> <li> &#8220;We'd really like to develop and install software, only we've forgotten how.&#8221; </li> </ul> <p> All are non-starters. Because the only statement you can make about software is that it will be high quality, don't waste the paper and toner. </p>	Sams Publishing					2006-11-30T14:29:31-08:00		21				bob_lewis	Lewis, Bob	Bob <strong>Lewis</strong>	<a href='../tags/business' rel='tag'>Business</a>	the <span class='sourcetype'>Book</span> <cite class='majortitle'>IS Survival Guide</cite>, <span class='datepublished'>1999</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0672314371/portablewisdo-20' class='isbn'>0672314371</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1999</span> by <span class='rightsowner'>Sams Publishing</span>
Art	Bruce Springsteen	Rolling Stone 2007	3	unknown	Copyright	2009-Jan-05		A Long Conversation	<p> At this point, I'm in the middle of a very long conversation with my audience. </p> <p> It's an ongoing dialogue about what living means. You create a space together. You are involved in an act of the imagination together, imagining the life you want to live, the kind of country you want to live in, the kind of place you want to leave to your children. What are the things that bring you ecstasy and bliss, what are the things that bring on the darkness, and what can we do together to combat those things? That's the dialogue I have in my imagination when I'm writing. I have it in front of me when I'm performing. </p>	Rolling Stone LLC		Bringing It All Back Home			2007-12-02T13:10:14-08:00		115				bruce_springsteen	Springsteen, Bruce	Bruce <strong>Springsteen</strong>	<a href='../tags/art' rel='tag'>Art</a>	<cite class='majortitle'>Rolling Stone 2007</cite>, <cite class='minortitle'>&#8220;Bringing It All Back Home&#8221;</cite>, <span class='datepublished'>2009-Jan-05</span>	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>2009-Jan-05</span> by <span class='rightsowner'>Rolling Stone LLC</span>
